captured_at,sport,year,week,event_id,play_id,period,clock,play_text,down,distance,possession,yard_line,score_margin,home,away,home_score,away_score,home_win_prob,away_win_prob,home_pass_yds,home_rush_yds,home_total_yds,away_pass_yds,away_rush_yds,away_total_yds,market_type,market,selection,player,line,book_id,book_price,model_projection,model_price,model_prob,actual_result,actual_stat,bet_result,expected_roi_pct,pregame_line,pregame_book_price,pregame_projection,pregame_capture_at,pregame_capture_type
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,4018729371,1,15:00,GAME,4,1,MIN 21,79,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Spread,Minnesota Vikings,,-2.5,kalshi,-113,—,—,,0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,4018729371,1,15:00,GAME,4,1,MIN 21,79,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Spread,Chicago Bears,,2.5,kalshi,-271,—,—,,0,,hit,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,4018729371,1,15:00,GAME,4,1,MIN 21,79,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Total,Over,,21.5,kalshi,-525,—,—,,0.0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,4018729371,1,15:00,GAME,4,1,MIN 21,79,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Total,Under,,21.5,kalshi,-300,—,—,,0.0,,hit,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,4018729371,1,15:00,GAME,4,1,MIN 21,79,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,ML,Minnesota Vikings,,,polymarket,108,—,—,,Loss,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,4018729371,1,15:00,GAME,4,1,MIN 21,79,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,ML,Chicago Bears,,,bet365,-115,—,—,,Loss,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,40187293740,1,15:00,C.Santos kicks 58 yards from CHI 35 to MIN 7. M.Price to MIN 28 for 21 yards (J.Sanborn; S.Thomas).,4,1,MIN 21,35,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Spread,Minnesota Vikings,,-2.5,kalshi,-113,—,—,,0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,40187293740,1,15:00,C.Santos kicks 58 yards from CHI 35 to MIN 7. M.Price to MIN 28 for 21 yards (J.Sanborn; S.Thomas).,4,1,MIN 21,35,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Spread,Chicago Bears,,2.5,kalshi,-271,—,—,,0,,hit,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,40187293740,1,15:00,C.Santos kicks 58 yards from CHI 35 to MIN 7. M.Price to MIN 28 for 21 yards (J.Sanborn; S.Thomas).,4,1,MIN 21,35,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Total,Over,,21.5,kalshi,-525,—,—,,0.0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872937,40187293740,1,15:00,C.Santos kicks 58 yards from CHI 35 to MIN 7. M.Price to MIN 28 for 21 yards (J.Sanborn; S.Thomas).,4,1,MIN 21,35,0,Chicago Bears,Minnesota Vikings,0,0,52.7,47.3,64.0,127.0,191.0,90.0,94.0,184.0,game,Total,Under,,21.5,kalshi,-300,—,—,,0.0,,hit,,,,—,,
