captured_at,sport,year,week,event_id,play_id,period,clock,play_text,down,distance,possession,yard_line,score_margin,home,away,home_score,away_score,home_win_prob,away_win_prob,home_pass_yds,home_rush_yds,home_total_yds,away_pass_yds,away_rush_yds,away_total_yds,market_type,market,selection,player,line,book_id,book_price,model_projection,model_price,model_prob,actual_result,actual_stat,bet_result,expected_roi_pct,pregame_line,pregame_book_price,pregame_projection,pregame_capture_at,pregame_capture_type
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,4018729381,1,15:00,GAME,1,10,BAL 28,28,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Spread,New Orleans Saints,,5.5,polymarketus,-223,—,—,,0,,hit,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,4018729381,1,15:00,GAME,1,10,BAL 28,28,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Spread,Baltimore Ravens,,-5.5,polymarketus,170,—,—,,0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,4018729381,1,15:00,GAME,1,10,BAL 28,28,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Total,Over,,41.5,novig,115,—,—,,0.0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,4018729381,1,15:00,GAME,1,10,BAL 28,28,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Total,Under,,41.5,betfair,1758,—,—,,0.0,,hit,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,4018729381,1,15:00,GAME,1,10,BAL 28,28,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,ML,New Orleans Saints,,,polymarket,212,—,—,,Loss,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,4018729381,1,15:00,GAME,1,10,BAL 28,28,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,ML,Baltimore Ravens,,,polymarket,-234,—,—,,Loss,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,40187293840,1,15:00,D.Carlson kicks 65 yards from NO 35 to BLT 0. C.Moore to BLT 25 for 25 yards (D.Stutsman).,1,10,BAL 28,65,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Spread,New Orleans Saints,,5.5,polymarketus,-223,—,—,,0,,hit,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,40187293840,1,15:00,D.Carlson kicks 65 yards from NO 35 to BLT 0. C.Moore to BLT 25 for 25 yards (D.Stutsman).,1,10,BAL 28,65,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Spread,Baltimore Ravens,,-5.5,polymarketus,170,—,—,,0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,40187293840,1,15:00,D.Carlson kicks 65 yards from NO 35 to BLT 0. C.Moore to BLT 25 for 25 yards (D.Stutsman).,1,10,BAL 28,65,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Total,Over,,41.5,novig,115,—,—,,0.0,,miss,,,,—,,
2026-09-20T19:22:51.890725+00:00,nfl,2026,2,401872938,40187293840,1,15:00,D.Carlson kicks 65 yards from NO 35 to BLT 0. C.Moore to BLT 25 for 25 yards (D.Stutsman).,1,10,BAL 28,65,0,Baltimore Ravens,New Orleans Saints,0,0,67.3,32.7,183.0,93.0,276.0,166.0,63.0,229.0,game,Total,Under,,41.5,betfair,1758,—,—,,0.0,,hit,,,,—,,
