captured_at,sport,year,week,event_id,play_id,period,clock,play_text,down,distance,possession,yard_line,score_margin,home,away,home_score,away_score,home_win_prob,away_win_prob,home_pass_yds,home_rush_yds,home_total_yds,away_pass_yds,away_rush_yds,away_total_yds,market_type,market,selection,player,line,book_id,book_price,model_projection,model_price,model_prob,actual_result,actual_stat,bet_result,expected_roi_pct,pregame_line,pregame_book_price,pregame_projection,pregame_capture_at,pregame_capture_type
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,4018729451,1,15:00,GAME,2,1,IND 37,63,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Over,,56.5,betfair,-116,—,—,,0.0,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,4018729451,1,15:00,GAME,2,1,IND 37,63,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Under,,56.5,betfair,102,—,—,,0.0,,hit,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,4018729451,1,15:00,GAME,2,1,IND 37,63,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,ML,Kansas City Chiefs,,,polymarket,-301,—,—,,Loss,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294539,1,15:00,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the IND 35.",2,1,IND 37,35,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Over,,56.5,betfair,-116,—,—,,0.0,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294539,1,15:00,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the IND 35.",2,1,IND 37,35,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Under,,56.5,betfair,102,—,—,,0.0,,hit,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294539,1,15:00,"H.Butker kicks 65 yards from KC 35 to end zone, Touchback to the IND 35.",2,1,IND 37,35,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,ML,Kansas City Chiefs,,,polymarket,-301,—,—,,Loss,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294565,1,15:00,J.Taylor right end to IND 40 for 5 yards (J.Hicks; A.Gilman).,1,10,IND 35,65,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Over,,56.5,betfair,-116,—,—,,0.0,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294565,1,15:00,J.Taylor right end to IND 40 for 5 yards (J.Hicks; A.Gilman).,1,10,IND 35,65,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Under,,56.5,betfair,102,—,—,,0.0,,hit,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294565,1,15:00,J.Taylor right end to IND 40 for 5 yards (J.Hicks; A.Gilman).,1,10,IND 35,65,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,ML,Kansas City Chiefs,,,polymarket,-301,—,—,,Loss,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294587,1,14:23,J.Taylor left tackle to IND 44 for 4 yards (D.Tranquill; G.Karlaftis).,2,5,IND 40,60,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Over,,56.5,betfair,-116,—,—,,0.0,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294587,1,14:23,J.Taylor left tackle to IND 44 for 4 yards (D.Tranquill; G.Karlaftis).,2,5,IND 40,60,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Under,,56.5,betfair,102,—,—,,0.0,,hit,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,40187294587,1,14:23,J.Taylor left tackle to IND 44 for 4 yards (D.Tranquill; G.Karlaftis).,2,5,IND 40,60,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,ML,Kansas City Chiefs,,,polymarket,-301,—,—,,Loss,,miss,,,,—,,
2026-09-21T01:35:17.907123+00:00,nfl,2026,2,401872945,401872945109,1,13:44,L.Tenuta reported in as eligible.  T.Warren up the middle to IND 47 for 3 yards (G.Karlaftis).,3,1,IND 44,56,0,Kansas City Chiefs,Indianapolis Colts,0,0,76.9,23.1,130.0,39.0,169.0,71.0,56.0,127.0,game,Total,Over,,56.5,betfair,-116,—,—,,0.0,,miss,,,,—,,
